ID_DISCENTE,SEXO,ESTADO_CIVIL,DATA_NASCIMENTO,RACA_COR,DEFICIENCIA,NATURALIDADE,UF_NATURALIDADE,DESCR_BAIRRO,CIDADE_END,UF_CIDADE_END,FORMA_INGRESSO,COD_CURSO,CURSO,ANO_INGRESSO,PERIODO_INGRESSO
101224,F,Solteiro(a),03/09/1995,Branca,Sem Deficiência,MANAUS,AM,FLORES,MANAUS,AM,Processo Seletivo Mestrado,PPG-CEM-M,Mestrado em Ciência e Engenharia de Materiais,2018,2
58632,M,Solteiro(a),09/08/1990,Negra,Sem Deficiência,MANAUS,AM,COLONIA ANTONIO ALEIXO,MANAUS,AM,Processo Seletivo Doutorado,PPG-FIS-D,Doutorado em Física,2016,2
102054,F,Casado(a),12/02/1969,Parda,Sem Deficiência,COARI,AM,COROADO III,MANAUS,AM,Processo Seletivo Mestrado,PPG-GEO-M,Mestrado em Geografia,2019,1
91203,F,Casado(a),05/09/1991,Parda,Sem Deficiência,MANAUS,AM,COLONIA TERRA NOVA 3,MANAUS,AM,PS DOUTORADO-AC (Ampla Concorrência),PPG-BIO-D,Doutorado em Biodiversidade e Biotecnologia da Rede Bionorte,2017,1
37168,F,Casado(a),05/06/1983,Parda,Sem Deficiência,MANAUS,AM,CENTRO,MANAUS,AM,Processo Seletivo Mestrado,PPG-LET-M,Mestrado em Letras,2019,1
91573,F,Casado(a),15/11/1987,Parda,Sem Deficiência,MANAUS,AM,NOVO ISRAEL,MANAUS,AM,Processo Seletivo Mestrado,PPG-LET-M,Mestrado em Letras,2018,1
97141,F,Solteiro(a),30/10/1980,Parda,Sem Deficiência,BENJAMIN CONSTANT,AM,RAIZ,MANAUS,AM,Processo Seletivo Mestrado,PPG-SCA-M,Mestrado em Sociedade e Cultura na Amazônia,2018,1
45852,M,Solteiro(a),27/03/1989,Parda,Sem Deficiência,COARI,AM,FLORES,MANAUS,AM,Processo Seletivo Doutorado,PPG-BIOT-D,Doutorado em Biotecnologia,2016,1
102071,M,Solteiro(a),27/10/1995,Parda,Sem Deficiência,MANAUS,AM,COMPENSA 2,MANAUS,AM,Processo Seletivo Mestrado,PPG-EDU-M,Mestrado em Educação,2019,2
102568,F,Solteiro(a),19/04/1996,Parda,Sem Deficiência,MANAUS,AM,PRACA 14 DE JANEIRO,MANAUS,AM,Processo Seletivo Mestrado,PPG-CIFA-M,Mestrado em Ciências Florestais e Ambientais,2019,1
106801,M,Solteiro(a),03/04/1997,Parda,Sem Deficiência,MANAUS,AM,CIDADE NOVA 2,MANAUS,AM,Processo Seletivo Mestrado,PPG-INF-M,Mestrado em Informática,2020,1
94113,F,Solteiro(a),17/07/1995,Parda,Sem Deficiência,MANAUS,AM,CIDADE NOVA,MANAUS,AM,Processo Seletivo Mestrado,PPG-SES-M,Mestrado em Serviço Social e Sustentabilidade na Amazônia,2019,1
94029,F,Solteiro(a),15/10/1995,Parda,Sem Deficiência,MANAUS,AM,PETROPOLIS,MANAUS,AM,Processo Seletivo Mestrado,PPG-QUI-M,Mestrado em Química,2018,2
98638,F,Solteiro(a),27/08/1997,Parda,Sem Deficiência,MANAUS,AM,SANTA ETELVINA,MANAUS,AM,Processo Seletivo Mestrado,PPG-ATR-M,Mestrado em Agronomia Tropical,2019,2
94901,F,Solteiro(a),25/07/1994,Parda,Sem Deficiência,MANAUS,AM,SAO LAZARO,MANAUS,AM,Processo Seletivo Mestrado,PPG-IMU-M,Mestrado em Imunologia Básica e Aplicada,2019,1
93002,M,Solteiro(a),07/06/1995,Parda,Sem Deficiência,MANAUS,AM,CACHOEIRINHA,MANAUS,AM,Processo Seletivo Mestrado,PPG-ENF-M,Mestrado em Enfermagem,2018,2
72259,F,Solteiro(a),10/04/1992,Parda,Sem Deficiência,MANAUS,AM,LAGO AZUL,MANAUS,AM,Processo Seletivo Mestrado,PPG-ODO-M,Mestrado em Odontologia,2019,1
101393,F,Solteiro(a),22/04/1996,Parda,Sem Deficiência,MANAUS,AM,NOVO ISRAEL,MANAUS,AM,Processo Seletivo Mestrado,PPG-CEM-M,Mestrado em Ciência e Engenharia de Materiais,2018,2
102017,F,Solteiro(a),05/05/1984,Parda,Sem Deficiência,PARINTINS,AM,CIDADE NOVA IV,MANAUS,AM,Processo Seletivo Mestrado,PPG-LET-M,Mestrado em Letras,2019,1
